artist,day,day_index,detail_link,stage,year
B-DASH,12/29,1,/wiki/B-DASH,EARTH STAGE,2003
ASIAN KUNG-FU GENERATION,12/29,1,/wiki/ASIAN_KUNG-FU_GENERATION,EARTH STAGE,2003
斉藤和義,12/29,1,/wiki/%E6%96%89%E8%97%A4%E5%92%8C%E7%BE%A9,EARTH STAGE,2003
一青窈,12/29,1,/wiki/%E4%B8%80%E9%9D%92%E7%AA%88,EARTH STAGE,2003
GRAPEVINE,12/29,1,/wiki/GRAPEVINE,EARTH STAGE,2003
奥田民生,12/29,1,/wiki/%E5%A5%A5%E7%94%B0%E6%B0%91%E7%94%9F,EARTH STAGE,2003
HY,12/29,1,/wiki/HY_(%E3%83%90%E3%83%B3%E3%83%89),EARTH STAGE,2003
LOST IN TIME,12/29,1,/wiki/LOST_IN_TIME,GALAXY STAGE,2003
MAMALAID RAG,12/29,1,/wiki/MAMALAID_RAG,GALAXY STAGE,2003
無戒秀徳アコースティック＆エレクトリック,12/29,1,/wiki/%E5%90%91%E4%BA%95%E7%A7%80%E5%BE%B3,GALAXY STAGE,2003
SOURCE,12/29,1,/wiki/SOURCE,GALAXY STAGE,2003
POTSHOT,12/29,1,/wiki/POTSHOT,GALAXY STAGE,2003
太陽族,12/29,1,/wiki/%E5%A4%AA%E9%99%BD%E6%97%8F_(%E3%83%90%E3%83%B3%E3%83%89),GALAXY STAGE,2003
10-FEET,12/29,1,/wiki/10-FEET,GALAXY STAGE,2003
スネオヘアー,12/29,1,/wiki/%E3%82%B9%E3%83%8D%E3%82%AA%E3%83%98%E3%82%A2%E3%83%BC,GALAXY STAGE,2003
HAWAIIAN6,12/30,2,/wiki/HAWAIIAN6,EARTH STAGE,2003
GOING UNDER GROUND,12/30,2,/wiki/GOING_UNDER_GROUND,EARTH STAGE,2003
ACO,12/30,2,/wiki/ACO,EARTH STAGE,2003
FIRE BALL,12/30,2,/wiki/FIRE_BALL_(%E3%83%AC%E3%82%B2%E3%82%A8%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97),EARTH STAGE,2003
ZAZEN BOYS,12/30,2,/wiki/ZAZEN_BOYS,EARTH STAGE,2003
BACK DROP BOMB,12/30,2,/wiki/BACK_DROP_BOMB,EARTH STAGE,2003
くるり,12/30,2,/wiki/%E3%81%8F%E3%82%8B%E3%82%8A,EARTH STAGE,2003
detroit7,12/30,2,/w/index.php?title=Detroit7&action=edit&redlink=1,GALAXY STAGE,2003
SPARTA LOCALS,12/30,2,/wiki/SPARTA_LOCALS,GALAXY STAGE,2003
日暮愛葉,12/30,2,/wiki/%E6%97%A5%E6%9A%AE%E6%84%9B%E8%91%89,GALAXY STAGE,2003
Syrup16g,12/30,2,/wiki/Syrup16g,GALAXY STAGE,2003
THE BACK HORN,12/30,2,/wiki/THE_BACK_HORN,GALAXY STAGE,2003
smorgas,12/30,2,/wiki/Smorgas,GALAXY STAGE,2003
POLYSICS,12/30,2,/wiki/POLYSICS,GALAXY STAGE,2003
山嵐,12/30,2,/wiki/%E5%B1%B1%E5%B5%90_(%E3%83%90%E3%83%B3%E3%83%89),GALAXY STAGE,2003
くるり,12/31,3,/wiki/%E3%81%8F%E3%82%8B%E3%82%8A,EARTH STAGE,2003
エレファントカシマシ,12/31,3,/wiki/%E3%82%A8%E3%83%AC%E3%83%95%E3%82%A1%E3%83%B3%E3%83%88%E3%82%AB%E3%82%B7%E3%83%9E%E3%82%B7,EARTH STAGE,2003
HUSKING BEE,12/31,3,/wiki/HUSKING_BEE,EARTH STAGE,2003
AIR,12/31,3,/wiki/%E8%BB%8A%E8%B0%B7%E6%B5%A9%E5%8F%B8,EARTH STAGE,2003
東京スカパラダイスオーケストラ,12/31,3,/wiki/%E6%9D%B1%E4%BA%AC%E3%82%B9%E3%82%AB%E3%83%91%E3%83%A9%E3%83%80%E3%82%A4%E3%82%B9%E3%82%AA%E3%83%BC%E3%82%B1%E3%82%B9%E3%83%88%E3%83%A9,EARTH STAGE,2003
忌野清志郎,12/31,3,/wiki/%E5%BF%8C%E9%87%8E%E6%B8%85%E5%BF%97%E9%83%8E,EARTH STAGE,2003
ACIDMAN,12/31,3,/wiki/ACIDMAN,EARTH STAGE,2003
氣志團,12/31,3,/wiki/%E6%B0%A3%E5%BF%97%E5%9C%98,EARTH STAGE,2003
レミオロメン,12/31,3,/wiki/%E3%83%AC%E3%83%9F%E3%82%AA%E3%83%AD%E3%83%A1%E3%83%B3,EARTH STAGE,2003
HEESEY WITH DUDES,12/31,3,/wiki/HEESEY_WITH_DUDES,GALAXY STAGE,2003
DMBQ,12/31,3,/wiki/DMBQ,GALAXY STAGE,2003
ART-SCHOOL,12/31,3,/wiki/ART-SCHOOL,GALAXY STAGE,2003
Polaris,12/31,3,/wiki/Polaris_(%E3%83%90%E3%83%B3%E3%83%89),GALAXY STAGE,2003
スケボーキング,12/31,3,/wiki/%E3%82%B9%E3%82%B1%E3%83%9C%E3%83%BC%E3%82%AD%E3%83%B3%E3%82%B0,GALAXY STAGE,2003
PENPALS,12/31,3,/wiki/PENPALS,GALAXY STAGE,2003
babamania,12/31,3,/wiki/Babamania,GALAXY STAGE,2003
堂島孝平×GO-GO KING RECORDERS,12/31,3,/wiki/%E5%A0%82%E5%B3%B6%E5%AD%9D%E5%B9%B3,GALAXY STAGE,2003
フラワーカンパニーズ,12/31,3,/wiki/%E3%83%95%E3%83%A9%E3%83%AF%E3%83%BC%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8B%E3%83%BC%E3%82%BA,GALAXY STAGE,2003
曽我部恵一,12/31,3,/wiki/%E6%9B%BD%E6%88%91%E9%83%A8%E6%81%B5%E4%B8%80,GALAXY STAGE,2003
GOING UNDER GROUND,12/29,1,/wiki/GOING_UNDER_GROUND,EARTH STAGE,2004
斉藤和義,12/29,1,/wiki/%E6%96%89%E8%97%A4%E5%92%8C%E7%BE%A9,EARTH STAGE,2004
奥田民生,12/29,1,/wiki/%E5%A5%A5%E7%94%B0%E6%B0%91%E7%94%9F,EARTH STAGE,2004
TRICERATOPS,12/29,1,/wiki/TRICERATOPS,EARTH STAGE,2004
一青窈,12/29,1,/wiki/%E4%B8%80%E9%9D%92%E7%AA%88,EARTH STAGE,2004
175R,12/29,1,/wiki/175R,EARTH STAGE,2004
レミオロメン,12/29,1,/wiki/%E3%83%AC%E3%83%9F%E3%82%AA%E3%83%AD%E3%83%A1%E3%83%B3,EARTH STAGE,2004
10-FEET,12/29,1,/wiki/10-FEET,GALAXY STAGE,2004
Jackson vibe,12/29,1,/wiki/Jackson_vibe,GALAXY STAGE,2004
